"Labour force characteristics, monthly, seasonally adjusted and trend-cycle, last 5 months" 1 2 3
"Monthly"
"Table: 14-10-0287-01 (formerly CANSIM 282-0087)"
"Geography: Canada, Province or territory"

"","Canada","Newfoundland and Labrador","Prince Edward Island","Nova Scotia","New Brunswick","Quebec","Ontario","Manitoba","Saskatchewan","Alberta","British Columbia"
"","Unemployment rate 5","Unemployment rate 5","Unemployment rate 5","Unemployment rate 5","Unemployment rate 5","Unemployment rate 5","Unemployment rate 5","Unemployment rate 5","Unemployment rate 5","Unemployment rate 5","Unemployment rate 5"
"","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes"
"","15 years and over","15 years and over","15 years and over","15 years and over","15 years and over","15 years and over","15 years and over","15 years and over","15 years and over","15 years and over","15 years and over"
"","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate"
"Reference period","Unadjusted","Unadjusted","Unadjusted","Unadjusted","Unadjusted","Unadjusted","Unadjusted","Unadjusted","Unadjusted","Unadjusted","Unadjusted"
"","Percentage",,,,,,,,,,
"August 1999","7.6","16.0","9.9","8.5","8.2","9.6","6.2","6.5","6.1","6.3","8.6"
"September 1999","6.8","14.9","10.4","8.7","8.3","8.4","5.9","5.3","4.6","5.4","7.1"
"October 1999","6.6","14.8","10.5","8.4","8.4","8.6","5.4","4.8","4.9","4.8","7.1"
"November 1999","6.6","14.4","13.9","8.9","9.0","8.2","5.1","5.1","4.7","5.1","7.8"
"December 1999","6.3","13.3","14.8","9.0","10.0","7.9","4.9","5.2","4.8","4.9","7.2"
"January 2000","7.3","18.2","16.6","10.2","10.8","9.1","6.0","5.7","5.4","5.4","7.8"
"February 2000","7.3","18.6","14.6","10.3","10.8","9.2","6.2","5.7","5.0","5.0","7.5"
"March 2000","7.3","19.1","15.0","9.8","11.9","8.9","6.1","5.9","5.2","5.1","7.4"
"April 2000","7.1","18.6","15.8","9.6","12.5","9.2","5.7","5.4","5.4","5.2","7.2"
"May 2000","6.7","17.7","9.2","8.8","11.0","8.4","5.7","4.3","5.2","4.8","6.8"
"June 2000","6.3","15.4","8.0","7.7","9.7","8.1","5.3","4.0","5.1","4.4","6.6"
"July 2000","7.0","15.5","10.5","9.0","9.2","8.7","5.8","5.4","5.6","5.9","7.4"
"August 2000","7.2","15.0","9.5","8.9","8.9","8.5","6.3","5.4","6.0","5.8","8.1"
"September 2000","6.3","14.7","8.4","8.5","7.8","7.7","5.5","4.0","4.7","4.3","7.0"
"October 2000","6.4","14.6","10.6","8.3","8.0","8.1","5.4","4.1","4.5","4.4","7.0"
"November 2000","6.5","15.8","14.5","9.2","9.8","8.1","5.5","4.6","4.3","4.8","6.8"
"December 2000","6.4","16.5","13.5","8.5","9.7","7.8","5.4","4.9","4.7","4.6","6.5"
"January 2001","7.5","17.3","15.6","10.7","11.4","9.6","6.1","5.2","6.1","5.6","7.9"
"February 2001","7.5","17.2","14.0","9.8","12.9","9.1","6.5","4.8","6.0","4.8","7.9"
"March 2001","7.6","18.1","13.8","11.3","14.6","9.3","6.7","5.5","6.0","5.0","7.0"
"April 2001","7.4","19.8","17.9","11.5","13.7","9.3","6.0","5.6","6.5","5.0","7.4"
"May 2001","7.1","16.9","10.5","10.2","12.1","9.0","6.0","4.6","6.1","4.6","6.8"
"June 2001","6.7","15.0","6.9","9.4","9.8","8.6","5.9","5.0","5.2","4.1","7.0"
"July 2001","7.3","15.0","9.6","9.5","10.2","7.9","6.8","5.7","6.2","4.9","7.7"
"August 2001","7.5","15.2","9.0","9.3","9.7","8.5","6.9","5.8","5.9","4.9","8.5"
"September 2001","6.6","13.4","8.7","8.7","9.0","7.9","6.2","4.7","5.1","3.8","7.1"
"October 2001","6.7","13.9","10.1","8.6","8.6","8.1","6.1","4.3","5.0","4.3","7.6"
"November 2001","7.1","14.5","12.9","8.7","10.4","8.7","6.3","4.6","5.3","4.5","8.3"
"December 2001","7.6","15.8","14.4","9.2","11.0","9.6","6.3","4.5","5.9","4.8","9.4"
"January 2002","8.7","18.8","17.4","11.1","12.4","10.5","7.8","5.6","6.5","5.4","9.8"
"February 2002","8.5","18.9","16.9","11.2","12.6","10.1","7.5","6.2","6.0","5.3","9.4"
"March 2002","8.4","18.5","15.0","10.7","12.0","9.8","7.6","5.6","6.2","5.3","9.2"
"April 2002","8.0","17.5","14.8","10.7","12.1","9.4","6.9","5.7","6.5","5.8","9.1"
"May 2002","7.9","18.9","9.3","10.1","10.2","8.4","7.2","4.7","6.0","6.2","9.3"
"June 2002","7.1","15.3","8.0","8.5","8.4","7.9","6.8","4.2","5.0","5.0","8.1"
"July 2002","7.8","13.7","10.3","9.8","9.3","8.5","7.6","5.2","5.8","5.6","8.4"
"August 2002","7.7","14.8","9.2","9.0","9.1","8.4","7.7","5.4","5.7","5.4","8.0"
"September 2002","6.9","14.1","8.7","8.8","7.8","7.5","6.9","4.1","4.7","5.1","7.3"
"October 2002","6.9","15.9","9.5","8.2","8.7","7.5","6.6","4.6","5.1","5.2","7.6"
"November 2002","7.1","16.7","12.2","9.0","9.6","8.4","6.2","5.0","5.3","5.0","8.3"
"December 2002","7.1","17.6","12.9","8.5","10.1","8.2","6.4","4.6","5.5","4.6","8.1"
"January 2003","8.1","20.0","15.2","10.2","11.2","9.6","7.1","5.4","6.6","5.9","8.8"
"February 2003","7.9","18.7","14.3","9.7","12.3","9.4","7.1","5.6","6.4","5.1","8.5"
"March 2003","7.8","18.4","15.3","10.4","11.0","9.7","6.9","5.1","5.8","5.4","7.7"
"April 2003","7.9","19.1","16.2","9.4","12.3","9.8","6.8","4.7","5.9","6.0","8.1"
"May 2003","8.0","17.3","9.9","9.1","12.7","9.4","7.3","4.3","5.7","5.7","8.5"
"June 2003","7.1","13.7","6.0","7.9","9.4","8.4","6.9","4.1","4.8","4.7","7.6"
"July 2003","7.8","14.2","8.6","9.0","9.4","8.7","7.8","5.1","5.6","5.0","8.7"
"August 2003","8.1","14.3","7.7","9.8","10.1","9.7","7.6","5.4","6.2","5.5","8.7"
"September 2003","7.3","14.0","7.4","8.5","7.8","8.4","7.1","4.8","4.8","4.3","8.2"
"October 2003","6.9","14.8","8.3","8.1","8.6","8.5","6.4","4.9","4.8","4.5","7.2"
"November 2003","7.1","16.6","11.7","9.4","9.1","8.8","6.2","5.2","5.3","4.5","7.4"
"December 2003","6.9","17.6","11.9","8.1","9.3","9.1","6.0","4.8","5.3","4.4","6.4"
"January 2004","7.9","18.4","15.0","10.5","11.4","10.1","6.7","5.8","6.2","5.3","8.2"
"February 2004","7.8","17.4","14.9","9.7","10.6","9.6","6.8","5.3","6.1","5.3","8.4"
"March 2004","7.8","17.5","14.3","10.4","11.1","9.2","7.3","5.3","6.4","5.0","7.9"
"April 2004","7.5","18.6","16.8","9.9","11.9","8.9","6.7","5.7","5.8","4.7","7.8"
"May 2004","7.3","17.5","10.6","9.1","11.0","8.0","7.2","4.9","4.8","4.5","7.7"
"June 2004","6.7","14.2","7.3","7.7","9.0","7.7","6.6","5.0","4.5","4.2","6.9"
"July 2004","7.3","12.4","9.2","8.1","9.5","8.0","7.4","5.7","5.4","4.8","7.2"
"August 2004","7.5","14.0","8.4","8.3","9.4","8.1","7.5","6.3","5.5","4.9","8.0"
"September 2004","6.5","13.5","8.0","7.8","7.7","7.6","6.3","5.2","5.0","4.3","6.2"
"October 2004","6.5","14.0","9.5","7.5","8.3","7.8","6.1","4.9","4.3","4.5","6.3"
"November 2004","6.8","15.7","10.7","8.6","8.9","8.7","6.3","4.8","4.8","4.5","6.2"
"December 2004","6.7","14.8","11.6","8.3","9.0","8.7","6.3","4.7","5.2","4.1","5.6"
"January 2005","7.5","16.4","14.3","9.8","11.2","9.3","6.7","5.5","5.6","4.9","7.2"
"February 2005","7.4","17.2","13.3","10.6","10.5","8.8","6.9","5.3","5.5","4.2","7.6"
"March 2005","7.4","16.8","13.2","9.8","10.5","8.9","7.3","5.5","5.5","3.5","6.7"
"April 2005","7.0","18.7","15.1","9.2","11.1","8.4","6.7","5.1","5.5","4.2","6.2"
"May 2005","7.0","16.6","9.6","7.8","9.5","8.4","7.2","4.6","4.3","3.6","6.0"
"June 2005","6.3","12.5","7.8","7.7","8.9","7.3","6.6","4.3","4.1","3.5","5.5"
"July 2005","6.9","12.1","9.2","7.6","9.2","7.9","7.4","4.7","4.8","3.7","6.3"
"August 2005","7.1","15.0","8.8","6.9","9.2","8.3","7.4","5.3","5.6","4.3","6.3"
"September 2005","6.3","13.2","8.3","7.8","8.5","7.7","6.2","4.4","5.5","3.7","5.1"
"October 2005","6.1","14.0","9.2","7.7","9.7","7.7","6.0","4.1","4.7","3.9","4.5"
"November 2005","6.0","14.7","10.6","8.0","8.6","7.9","5.5","3.8","4.8","4.1","4.5"
"December 2005","6.1","15.8","12.1","8.0","9.1","8.3","5.6","4.1","4.9","3.9","4.4"
"January 2006","7.2","18.7","14.4","9.0","9.8","9.6","6.6","4.9","5.8","4.0","5.8"
"February 2006","6.7","16.6","13.9","9.5","10.5","8.9","6.4","4.7","5.8","3.2","5.3"
"March 2006","6.8","17.3","15.5","9.0","10.1","9.0","6.6","4.6","5.6","3.2","4.6"
"April 2006","6.6","18.7","14.7","8.7","10.6","8.8","6.1","5.0","5.3","3.6","4.6"
"May 2006","6.2","15.8","8.7","8.0","8.8","7.7","6.2","3.6","4.4","3.4","4.9"
"June 2006","5.7","13.0","6.9","7.3","7.0","7.3","5.9","3.0","4.1","3.1","4.0"
"July 2006","6.7","12.0","9.3","7.9","8.7","7.8","7.3","4.8","4.6","3.8","5.1"
"August 2006","6.9","13.9","8.4","7.7","8.9","7.9","7.2","5.3","5.8","4.5","5.4"
"September 2006","6.0","11.7","7.8","7.0","7.3","7.4","6.3","4.1","4.0","3.2","4.4"
"October 2006","5.6","12.8","9.2","7.2","7.2","7.0","5.8","3.7","3.3","2.9","4.2"
"November 2006","5.9","13.2","11.4","7.0","7.8","7.9","5.8","4.3","3.6","3.2","4.6"
"December 2006","5.7","14.0","13.5","6.7","8.1","7.6","5.4","4.0","3.9","3.2","4.5"
"January 2007","6.7","18.0","13.9","8.9","8.6","8.8","6.6","5.2","4.6","3.8","4.8"
"February 2007","6.5","15.7","12.8","8.6","7.4","8.7","6.4","4.7","4.3","3.6","4.5"
"March 2007","6.6","16.0","12.8","9.0","8.2","8.3","7.0","4.6","4.3","3.5","4.0"
"April 2007","6.4","15.4","12.7","8.8","8.7","7.7","6.5","5.2","4.3","3.6","4.7"
"May 2007","6.1","13.7","8.6","8.0","8.2","7.0","6.5","4.8","4.3","3.8","4.4"
"June 2007","5.6","11.6","7.1","7.3","5.8","6.2","6.3","3.9","3.9","3.4","4.1"
"July 2007","6.2","11.0","9.0","8.4","7.0","6.5","7.3","4.3","4.9","3.4","4.5"
"August 2007","6.4","12.9","7.8","8.4","7.8","7.1","7.0","5.0","5.6","3.9","4.5"
"September 2007","5.5","11.5","7.9","7.3","7.2","6.5","5.8","3.9","3.4","3.3","4.0"
"October 2007","5.3","12.2","7.2","6.7","6.8","6.5","5.5","3.5","3.7","3.2","4.0"
"November 2007","5.7","12.8","11.6","7.7","6.7","7.1","5.7","4.0","3.6","3.7","3.9"
"December 2007","5.6","12.4","11.9","6.7","7.7","7.1","5.8","4.1","3.8","3.1","3.8"
"January 2008","6.3","14.3","14.0","8.4","9.2","7.8","6.5","4.1","4.5","3.8","4.6"
"February 2008","6.2","14.7","11.4","8.9","8.8","7.8","6.2","4.6","4.3","3.7","4.5"
"March 2008","6.5","14.4","12.0","8.9","9.4","7.9","6.9","4.7","4.4","3.4","4.3"
"April 2008","6.3","16.2","15.0","8.0","9.9","8.1","6.1","4.5","4.5","3.3","4.6"
"May 2008","6.2","13.4","8.3","8.2","9.4","7.2","6.7","4.0","4.0","3.8","4.7"
"June 2008","5.6","11.5","6.7","6.7","7.9","6.3","6.5","3.4","3.4","3.0","4.1"
"July 2008","6.3","11.4","9.6","6.4","8.5","6.8","7.2","4.1","4.6","3.7","4.8"
"August 2008","6.5","13.0","7.9","7.8","8.4","7.4","7.0","4.8","5.2","4.0","4.6"
"September 2008","5.6","11.9","8.9","6.9","6.7","6.5","6.1","3.9","3.4","3.5","4.2"
"October 2008","5.6","12.5","9.8","6.7","7.8","6.4","6.0","3.8","3.0","3.3","4.7"
"November 2008","6.2","13.8","12.5","7.5","7.9","7.2","6.8","4.0","3.2","3.4","4.8"
"December 2008","6.4","13.5","14.4","7.5","8.3","7.6","6.6","4.3","3.9","4.1","5.1"
"January 2009","7.9","17.2","16.2","9.7","9.1","9.2","8.3","4.9","4.5","5.1","6.9"
"February 2009","8.3","17.4","15.5","9.8","9.2","9.2","8.8","5.2","5.2","5.7","7.6"
"March 2009","8.8","16.8","14.1","9.9","10.6","9.8","9.5","5.8","5.4","6.1","7.7"
"April 2009","8.7","17.7","16.6","10.2","10.3","9.7","9.0","5.5","5.5","6.4","8.0"
"May 2009","8.9","16.2","11.0","9.3","9.6","8.7","10.1","4.6","5.2","7.2","7.9"
"June 2009","8.2","13.1","7.5","8.7","7.9","7.8","9.6","4.6","4.0","6.3","7.9"
"July 2009","9.0","14.5","10.7","8.9","9.1","8.6","10.4","5.5","5.0","7.3","8.1"
"August 2009","9.1","14.4","10.0","8.8","9.2","8.7","10.2","6.6","6.1","7.6","8.4"
"September 2009","7.7","12.9","9.5","8.9","6.4","7.8","8.6","4.8","4.1","6.4","7.0"
"October 2009","7.7","15.3","9.5","8.5","6.8","7.4","8.3","5.1","4.5","6.8","7.5"
"November 2009","8.0","15.6","11.0","9.2","7.3","7.9","8.7","4.7","4.9","7.0","7.7"
"December 2009","7.9","15.6","12.3","8.9","8.3","8.3","8.3","5.4","4.4","6.2","7.7"
"January 2010","8.8","17.9","12.7","11.0","10.4","9.1","9.2","5.7","5.1","7.0","8.6"
"February 2010","8.6","16.9","12.6","10.6","9.4","8.9","9.1","5.9","4.7","7.1","8.0"
"March 2010","8.9","18.4","13.3","10.0","9.6","9.2","9.6","5.5","5.6","7.5","7.9"
"April 2010","8.5","18.4","12.5","9.6","10.0","8.9","8.9","5.3","5.7","7.6","7.6"
"May 2010","8.4","14.5","9.6","9.1","9.9","8.0","9.3","5.7","5.3","7.0","7.9"
"June 2010","7.5","12.7","8.5","8.2","7.9","7.0","8.2","5.1","5.2","6.3","7.6"
"July 2010","8.3","13.3","9.6","9.5","8.8","7.9","9.3","5.9","5.5","6.8","7.8"
"August 2010","8.8","13.7","9.5","9.9","9.4","8.4","9.9","6.8","5.8","7.0","8.1"
"September 2010","7.5","11.3","10.7","8.5","8.3","7.1","8.5","5.0","4.9","5.8","7.1"
"October 2010","7.2","11.9","11.1","8.9","8.3","7.1","7.7","4.3","5.3","6.0","7.0"
"November 2010","7.1","13.7","13.6","9.6","9.2","7.4","7.5","4.7","5.0","5.4","6.4"
"December 2010","7.1","14.5","13.8","10.2","9.1","7.2","7.3","5.1","4.9","5.4","6.8"
"January 2011","8.2","14.2","14.5","11.0","10.5","8.7","8.3","5.4","5.6","6.2","8.5"
"February 2011","8.0","13.8","13.4","10.7","10.8","8.4","8.0","5.6","5.7","5.8","9.1"
"March 2011","8.3","14.6","13.3","10.3","11.1","8.7","8.6","6.0","5.4","5.6","8.4"
"April 2011","8.0","13.6","14.8","10.1","11.5","8.7","8.0","5.6","5.5","6.1","7.9"
"May 2011","7.6","12.1","9.7","8.7","9.5","7.4","8.4","5.4","4.8","5.4","7.4"
"June 2011","7.1","10.9","7.7","7.9","8.5","7.2","7.8","5.2","4.3","5.1","7.0"
"July 2011","7.6","11.0","9.7","9.3","9.9","7.1","8.3","6.3","5.4","5.9","7.7"
"August 2011","7.9","12.9","8.9","8.8","8.8","7.9","8.3","6.6","5.5","6.2","8.0"
"September 2011","6.8","11.1","8.6","7.7","7.6","6.8","7.4","5.2","3.9","5.0","6.6"
"October 2011","6.8","11.3","9.2","8.1","8.3","7.2","7.4","4.8","3.9","4.8","6.3"
"November 2011","7.1","12.6","11.7","8.6","9.0","7.9","7.3","5.1","4.5","4.7","6.7"
"December 2011","6.9","13.0","12.0","7.3","8.8","8.6","6.7","5.1","4.3","4.5","6.6"
"January 2012","8.0","14.9","15.8","9.6","10.7","9.5","8.2","5.7","5.0","5.1","7.4"
"February 2012","7.8","13.8","13.2","9.2","11.1","9.0","7.7","5.8","5.4","5.3","7.4"
"March 2012","7.8","14.0","13.1","9.7","11.5","8.7","8.1","5.4","5.2","5.2","7.3"
"April 2012","7.5","13.5","14.2","10.1","10.8","8.5","7.8","5.3","5.3","4.7","6.6"
"May 2012","7.5","12.1","9.8","9.1","9.8","7.5","8.6","5.0","4.4","4.5","7.3"
"June 2012","6.8","11.1","8.3","8.6","7.9","6.8","7.6","4.8","4.3","4.4","6.5"
"July 2012","7.5","11.4","8.9","9.1","10.1","7.0","8.7","6.1","5.3","4.6","7.0"
"August 2012","7.7","12.6","9.5","9.7","10.4","7.7","8.6","6.8","5.4","4.9","7.0"
"September 2012","6.6","10.7","8.7","8.1","9.5","6.8","7.4","4.8","4.0","4.1","6.4"
"October 2012","6.8","10.5","9.9","8.7","10.0","6.8","7.8","4.9","4.0","4.0","6.2"
"November 2012","6.8","12.2","11.8","8.7","10.8","7.3","7.1","4.6","4.2","4.0","6.6"
"December 2012","6.7","11.2","11.5","9.0","10.0","7.4","7.0","4.6","4.5","4.2","6.4"
"January 2013","7.5","13.5","14.7","10.8","12.8","8.3","7.8","4.7","4.1","4.6","7.2"
"February 2013","7.4","12.9","13.4","10.3","11.6","8.1","7.8","5.2","3.9","4.7","6.7"
"March 2013","7.8","13.8","14.2","10.4","12.2","8.6","8.2","5.0","4.1","4.9","7.2"
"April 2013","7.4","13.7","14.0","10.0","11.9","8.3","7.7","5.7","4.5","4.5","6.4"
"May 2013","7.2","11.7","10.7","8.7","10.5","7.4","7.8","5.4","4.4","4.7","6.8"
"June 2013","6.7","10.0","8.0","8.1","9.1","7.2","7.3","4.8","3.6","4.8","6.1"
"July 2013","7.4","10.7","10.1","8.4","9.4","7.5","8.4","6.2","4.7","4.7","6.7"
"August 2013","7.6","10.8","8.8","9.0","9.9","8.0","8.3","6.6","5.1","5.3","7.0"
"September 2013","6.4","8.7","9.4","7.7","8.4","6.7","7.0","5.2","3.8","3.9","6.2"
"October 2013","6.4","10.0","9.5","8.3","8.8","6.7","6.9","5.1","3.3","4.2","6.2"
"November 2013","6.5","12.2","13.1","8.3","9.4","6.7","6.7","5.4","3.9","4.3","6.4"
"December 2013","6.7","11.2","13.3","8.7","9.7","7.4","7.1","5.2","3.6","4.5","6.2"
"January 2014","7.4","14.6","14.2","10.1","11.4","8.5","7.5","5.6","4.7","4.7","6.9"
"February 2014","7.4","13.0","13.3","9.9","10.9","8.9","7.5","5.6","4.1","4.3","6.7"
"March 2014","7.4","12.8","13.8","10.2","10.9","8.7","7.6","5.6","4.8","5.2","5.9"
"April 2014","7.3","13.6","14.4","10.0","12.3","8.4","7.3","5.9","3.9","5.3","5.9"
"May 2014","7.2","12.6","11.3","9.1","10.7","7.8","7.7","5.4","4.0","4.9","6.4"
"June 2014","6.7","10.4","6.1","8.3","8.1","7.3","7.4","4.7","3.3","4.6","5.8"
"July 2014","7.3","10.7","7.8","9.3","9.7","7.7","8.3","5.8","3.6","4.7","6.2"
"August 2014","7.5","12.3","7.3","8.7","9.1","7.8","8.1","6.6","5.2","5.7","6.5"
"September 2014","6.3","10.4","7.8","7.4","8.2","6.7","6.8","5.2","2.9","4.2","6.1"
"October 2014","6.0","10.8","7.7","7.9","8.9","6.7","6.2","4.6","3.0","4.1","5.8"
"November 2014","6.2","11.0","11.5","8.6","9.7","7.2","6.4","4.7","3.2","4.0","5.5"
"December 2014","6.2","11.3","12.9","7.8","9.7","7.2","6.5","4.9","3.4","4.5","4.9"
"January 2015","7.0","13.5","13.2","9.4","11.5","8.1","6.9","6.0","4.9","4.6","6.0"
"February 2015","7.2","13.9","12.2","9.9","11.6","8.0","7.0","5.5","5.5","5.8","6.6"
"March 2015","7.4","15.6","13.6","10.1","11.6","8.3","7.3","5.4","4.9","6.2","6.3"
"April 2015","7.1","14.7","13.7","10.1","11.6","8.1","6.8","5.6","4.8","6.0","6.2"
"May 2015","7.1","13.9","10.3","8.8","10.2","7.6","6.9","5.8","5.3","6.2","6.4"
"June 2015","6.5","10.7","7.1","7.0","9.5","7.5","6.4","4.9","4.2","5.6","5.6"
"July 2015","7.1","10.5","9.6","7.8","10.8","7.5","7.1","6.4","5.4","6.3","6.2"
"August 2015","7.5","11.0","8.5","8.5","9.8","8.2","7.6","7.1","6.0","6.6","6.3"
"September 2015","6.4","11.5","7.1","7.8","7.1","6.7","6.5","4.9","4.4","5.9","6.2"
"October 2015","6.3","11.6","8.3","6.9","7.7","6.8","6.2","4.8","4.9","6.0","6.0"
"November 2015","6.6","12.9","11.4","8.4","8.2","7.0","6.3","5.6","5.0","6.4","5.9"
"December 2015","6.7","14.2","11.1","8.2","8.4","7.6","6.1","5.4","5.1","6.7","6.2"
"January 2016","7.5","16.8","12.5","9.6","10.7","8.3","6.8","6.2","6.1","7.7","6.9"
"February 2016","7.7","16.0","13.6","10.2","11.2","8.3","6.8","6.2","6.7","8.5","7.2"
"March 2016","7.7","15.2","13.3","10.1","11.9","8.3","7.1","6.1","6.9","7.7","6.7"
"April 2016","7.5","14.7","15.0","9.1","11.4","8.1","7.1","6.3","7.0","8.1","5.6"
"May 2016","6.9","11.3","8.9","7.9","9.8","7.0","6.6","5.9","5.8","8.1","6.2"
"June 2016","6.4","10.1","7.4","7.1","8.8","6.4","6.1","5.6","5.5","7.8","5.5"
"July 2016","7.2","11.1","8.7","8.1","9.6","7.0","6.9","6.9","6.3","9.1","5.8"
"August 2016","7.6","11.7","9.8","8.5","8.7","7.4","7.6","7.3","6.8","9.1","6.0"
"September 2016","6.4","11.7","8.1","7.0","7.6","6.1","6.3","6.1","5.9","7.5","5.5"
"October 2016","6.3","13.3","9.7","6.8","8.4","6.0","5.8","5.7","6.1","7.5","5.8"
"November 2016","6.3","14.5","11.6","7.5","8.0","5.8","5.6","5.6","6.4","8.5","5.9"
"December 2016","6.4","15.2","11.5","7.7","8.8","6.4","5.7","5.7","6.2","8.2","5.4"
"January 2017","7.2","16.8","12.0","8.6","9.8","7.0","6.5","6.3","7.1","8.9","6.0"
"February 2017","7.0","16.7","11.7","9.2","10.0","7.1","6.3","6.0","6.5","8.6","5.6"
"March 2017","7.2","17.5","12.4","9.9","9.6","7.0","6.8","5.5","6.7","8.8","5.5"
"April 2017","6.8","16.3","13.2","9.1","10.2","7.2","5.9","5.4","7.0","8.5","5.2"
"May 2017","6.6","14.4","8.5","7.6","8.3","5.8","6.6","5.1","6.3","8.0","5.7"
"June 2017","6.0","12.6","6.9","7.9","6.8","5.6","6.1","4.8","5.8","7.2","4.5"
"July 2017","6.5","13.8","9.3","7.7","6.4","5.9","6.5","5.6","6.6","8.2","5.4"
"August 2017","6.8","13.8","7.3","9.0","7.6","6.5","6.3","6.0","6.9","8.9","5.4"
"September 2017","5.6","12.9","7.2","8.0","6.4","5.4","5.3","5.3","5.3","6.9","4.7"
"October 2017","5.7","12.7","9.1","7.8","6.8","5.6","5.4","4.5","5.1","6.7","4.7"
"November 2017","5.4","14.5","9.8","8.3","7.9","4.9","4.9","5.1","5.7","6.9","4.7"
"December 2017","5.3","15.4","10.5","7.3","7.2","4.8","5.0","5.3","6.2","6.5","4.4"
"January 2018","6.2","16.7","12.9","8.9","10.2","6.0","5.7","6.0","6.0","7.1","5.2"
"February 2018","6.1","16.1","11.9","8.9","9.3","6.3","5.5","6.2","6.0","6.8","5.0"
"March 2018","6.3","16.7","12.7","8.7","9.2","6.2","5.9","6.4","6.4","6.6","4.8"
"April 2018","6.1","16.1","15.0","7.7","9.2","5.8","5.6","6.4","7.1","6.7","5.0"
"May 2018","5.9","14.0","8.0","6.9","7.6","5.2","6.0","6.4","6.9","6.5","4.9"
"June 2018","5.7","13.1","6.0","7.2","6.5","5.0","5.8","5.5","5.6","6.3","4.8"
"July 2018","6.0","13.6","8.5","7.5","7.3","5.4","5.9","6.3","7.1","7.0","4.8"
"August 2018","6.6","12.9","7.0","8.6","8.2","6.1","6.5","6.7","7.4","7.5","5.6"
"September 2018","5.4","11.7","5.9","6.8","6.6","4.9","5.6","5.4","5.5","6.3","3.9"
"October 2018","5.3","10.9","6.4","6.7","6.2","4.9","5.2","5.4","5.4","6.5","3.9"
"November 2018","5.2","11.9","8.8","6.5","7.5","4.9","4.9","5.2","5.0","5.8","4.3"
"December 2018","5.2","11.9","10.3","6.2","8.0","5.2","4.7","5.7","5.4","5.9","4.2"
"January 2019","6.2","13.2","12.2","7.4","9.5","5.9","5.9","5.8","5.8","7.1","5.1"
"February 2019","6.1","13.1","12.5","7.3","9.7","6.0","5.7","5.5","5.9","7.5","4.7"
"March 2019","6.2","13.3","11.0","7.3","9.0","5.9","6.3","5.1","5.1","7.0","4.7"
"April 2019","5.9","12.9","12.5","7.7","9.4","5.4","5.9","5.3","6.1","6.8","4.5"
"May 2019","5.5","12.4","7.8","6.2","7.4","4.7","5.4","5.0","5.5","6.8","4.5"
"June 2019","5.2","11.8","6.1","5.9","6.6","4.5","5.4","5.1","4.6","6.3","4.2"
"July 2019","5.9","11.9","7.4","7.0","8.0","4.7","6.2","6.3","6.1","7.4","4.4"
"August 2019","6.3","12.2","6.9","8.5","8.6","5.2","6.3","6.3","6.1","8.0","5.5"
"September 2019","5.0","9.6","6.3","6.4","6.4","4.2","5.0","4.5","4.8","6.2","4.7"
"October 2019","5.0","10.0","6.7","7.4","6.9","4.3","4.8","4.8","4.4","6.4","4.7"
"November 2019","5.5","11.0","8.1","8.0","7.3","5.0","5.0","5.3","5.6","6.8","5.0"
"December 2019","5.1","12.1","8.8","7.6","6.8","4.8","4.7","4.5","5.2","6.5","4.3"
"January 2020","5.8","13.5","9.7","8.0","9.1","5.6","5.2","5.2","6.2","7.6","4.8"
"February 2020","5.9","13.3","10.0","8.7","8.1","5.1","5.5","5.2","6.2","7.5","5.2"
"March 2020","8.4","13.3","10.9","10.1","10.3","8.8","8.0","6.6","7.8","9.4","7.6"
"April 2020","13.5","18.2","15.2","13.0","15.4","18.2","11.3","11.4","12.4","13.8","11.5"
"May 2020","13.8","17.1","13.1","13.1","13.2","13.4","13.9","11.0","12.9","15.8","13.1"
"June 2020","11.9","15.0","10.0","12.1","9.0","10.0","12.3","9.5","10.5","14.7","12.3"
"July 2020","11.2","14.9","10.5","10.4","9.2","9.2","12.2","9.3","9.3","13.1","11.0"
"August 2020","11.0","12.0","8.7","11.0","9.7","9.1","11.8","9.6","8.9","12.8","11.3"
"September 2020","8.4","12.5","7.5","7.0","8.3","6.6","9.1","6.6","6.1","10.9","8.0"
"October 2020","8.1","10.9","8.4","8.0","8.5","6.9","8.8","6.4","5.5","9.9","7.7"
"November 2020","8.0","11.6","10.3","6.3","9.0","6.7","8.3","7.2","6.5","10.4","7.2"
"December 2020","8.0","12.1","11.0","8.1","8.7","6.5","8.5","7.5","7.5","10.0","6.7"

Symbol legend:

Footnotes:
1,"Fluctuations in economic time series are caused by seasonal, cyclical and irregular movements. A seasonally adjusted series is one from which seasonal movements have been eliminated. Seasonal movements are defined as those which are caused by regular annual events such as climate, holidays, vacation periods and cycles related to crops, production and retail sales associated with Christmas and Easter. It should be noted that the seasonally adjusted series contain irregular as well as longer-term cyclical fluctuations. The seasonal adjustment program is a complicated computer program which differentiates between these seasonal, cyclical and irregular movements in a series over a number of years and, on the basis of past movements, estimates appropriate seasonal factors for current data. On an annual basis, the historic series of seasonally adjusted data are revised in light of the most recent information on changes in seasonality."
