"Station Name","BELLEVILLE"
"Province","ONTARIO"
"Latitude","44.15"
"Longitude","-77.39"
"Elevation","76.20"
"Climate Identifier","6150689"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1866-01","1866","01","-4.0","","-14.4","","-9.2","","","","","","22.6","","45.2","","67.8","","","",,"",,""
"1866-02","1866","02","-1.0","","-12.7","","-6.9","","","","","","45.7","","29.5","","75.2","","","",,"",,""
"1866-03","1866","03","0.7","","-7.0","","-3.2","","","","","","71.1","","21.1","","92.2","","","",,"",,""
"1866-04","1866","04","13.3","","1.8","","7.6","","","","","","52.3","","0.0","","52.3","","","",,"",,""
"1866-05","1866","05","15.6","","4.1","","9.9","","","","","","62.0","","0.0","","62.0","","","",,"",,""
"1866-06","1866","06","22.2","","11.8","","17.0","","","","","","65.3","","0.0","","65.3","","","",,"",,""
"1866-07","1866","07","26.6","","16.6","","21.6","","","","","","60.5","","0.0","","60.5","","","",,"",,""
"1866-08","1866","08","20.9","","11.7","","16.3","","","","","","94.0","","0.0","","94.0","","","",,"",,""
"1866-09","1866","09","18.0","","8.3","","13.2","","","","","","137.2","","0.0","","137.2","","","",,"",,""
"1866-10","1866","10","15.2","","4.4","","9.8","","","","","","48.5","","0.0","","48.5","","","",,"",,""
"1866-11","1866","11","7.8","","-0.4","","3.7","","","","","","99.1","","2.3","","101.3","","","",,"",,""
"1866-12","1866","12","-0.9","","-9.8","","-5.4","","","","","","74.9","","45.7","","120.7","","","",,"",,""
"1867-01","1867","01","-5.8","","-14.9","","-10.4","","","","","","3.6","","60.5","","64.0","","","",,"",,""
"1867-02","1867","02","1.2","","-8.8","","-3.8","","","","","","24.9","","48.0","","72.9","","","",,"",,""
"1867-03","1867","03","1.6","","-8.2","","-3.3","","","","","","17.3","","31.5","","48.8","","","",,"",,""
"1867-04","1867","04","10.2","","0.9","","5.6","","","","","","67.8","","8.6","","76.5","","","",,"",,""
"1867-05","1867","05","13.5","","5.4","","9.5","","","","","","133.9","","0.0","","133.9","","","",,"",,""
"1867-06","1867","06","24.8","","15.2","","20.0","","","","","","13.2","","0.0","","13.2","","","",,"",,""
"1867-07","1867","07","26.2","","15.2","","20.7","","","","","","49.3","","0.0","","49.3","","","",,"",,""
"1867-08","1867","08","26.8","","15.8","","21.3","","","","","","62.2","","0.0","","62.2","","","",,"",,""
"1867-09","1867","09","21.5","","8.8","","15.2","","","","","","40.9","","0.0","","40.9","","","",,"",,""
"1867-10","1867","10","14.8","","4.2","","9.5","","","","","","96.8","","0.0","","96.8","","","",,"",,""
"1867-11","1867","11","6.6","","-3.2","","1.7","","","","","","36.1","","19.6","","55.6","","","",,"",,""
"1867-12","1867","12","-2.4","","-14.2","","-8.3","","","","","","35.8","","35.6","","71.4","","","",,"",,""
"1868-01","1868","01","-4.8","","-14.9","","-9.9","","","","","","0.0","","82.3","","82.3","","","",,"",,""
"1868-02","1868","02","-3.7","","-16.6","","-10.2","","","","","","0.0","","105.2","","105.2","","","",,"",,""
"1868-03","1868","03","4.6","","-5.8","","-0.6","","","","","","73.4","","10.2","","83.6","","","",,"",,""
"1868-04","1868","04","9.1","","-1.3","","3.9","","","","","","30.5","","18.5","","49.0","","","",,"",,""
"1868-05","1868","05","17.8","","7.4","","12.6","","","","","","86.9","","0.0","","86.9","","","",,"",,""
"1868-06","1868","06","23.5","","12.4","","18.0","","","","","","32.8","","0.0","","32.8","","","",,"",,""
"1868-07","1868","07","30.8","","19.7","","25.3","","","","","","16.3","","0.0","","16.3","","","",,"",,""
"1868-08","1868","08","25.8","","14.5","","20.2","","","","","","81.3","","0.0","","81.3","","","",,"",,""
"1868-09","1868","09","18.4","","9.1","","13.8","","","","","","80.0","","0.0","","80.0","","","",,"",,""
"1868-10","1868","10","9.8","","0.3","","5.1","","","","","","67.1","","11.4","","78.5","","","",,"",,""
"1868-11","1868","11","4.5","","-2.2","","1.2","","","","","","106.9","","15.5","","122.4","","","",,"",,""
"1868-12","1868","12","-3.2","","-13.4","","-8.3","","","","","","1.3","","74.2","","75.4","","","",,"",,""
"1869-01","1869","01","1.3","","-9.4","","-4.1","","","","","","17.3","","27.4","","44.7","","","",,"",,""
"1869-02","1869","02","-1.2","","-10.7","","-6.0","","","","","","9.4","","109.5","","118.9","","","",,"",,""
"1869-03","1869","03","-0.4","","-11.4","","-5.9","","","","","","26.9","","62.0","","88.9","","","",,"",,""
"1869-04","1869","04","10.1","","-0.1","","5.0","","","","","","39.4","","1.3","","40.6","","","",,"",,""
"1869-05","1869","05","16.9","","6.2","","11.6","","","","","","66.3","","0.0","","66.3","","","",,"",,""
"1869-06","1869","06","20.8","","10.7","","15.8","","","","","","66.8","","0.0","","66.8","","","",,"",,""
"1869-07","1869","07","23.6","","14.0","","18.8","","","","","","64.0","","0.0","","64.0","","","",,"",,""
"1869-08","1869","08","24.1","","12.9","","18.5","","","","","","39.4","","0.0","","39.4","","","",,"",,""
"1869-09","1869","09","21.8","","11.6","","16.7","","","","","","184.7","","0.0","","184.7","","","",,"",,""
"1869-10","1869","10","10.6","","2.1","","6.4","","","","","","51.3","","14.0","","65.3","","","",,"",,""
"1869-11","1869","11","3.3","","-4.3","","-0.5","","","","","","94.5","","31.8","","126.2","","","",,"",,""
"1869-12","1869","12","1.1","","-7.2","","-3.1","","","","","","74.7","","27.4","","102.1","","","",,"",,""
"1870-01","1870","01","-0.3","","-11.9","","-6.1","","","","","","93.5","","67.1","","160.5","","","",,"",,""
"1870-02","1870","02","-2.6","","-14.1","","-8.4","","","","","","21.3","","80.8","","102.1","","","",,"",,""
"1870-03","1870","03","0.2","","-8.9","","-4.4","","","","","","8.6","","139.7","","148.3","","","",,"",,""
"1870-04","1870","04","12.9","","2.2","","7.6","","","","","","89.2","","0.0","","89.2","","","",,"",,""
"1870-05","1870","05","21.3","","8.7","","15.0","","","","","","26.4","","0.0","","26.4","","","",,"",,""
"1870-06","1870","06","27.8","","16.1","","22.0","","","","","","63.0","","0.0","","63.0","","","",,"",,""
"1870-07","1870","07","26.5","","16.5","","21.5","","","","","","112.0","","0.0","","112.0","","","",,"",,""
"1870-08","1870","08","26.1","","15.2","","20.7","","","","","","53.6","","0.0","","53.6","","","",,"",,""
"1870-09","1870","09","21.8","","10.4","","16.1","","","","","","89.2","","0.0","","89.2","","","",,"",,""
"1870-10","1870","10","14.6","","5.6","","10.1","","","","","","95.8","","0.0","","95.8","","","",,"",,""
"1870-11","1870","11","6.7","","-1.9","","2.4","","","","","","37.8","","7.6","","45.5","","","",,"",,""
"1870-12","1870","12","-0.4","","-9.4","","-4.9","","","","","","18.0","","74.9","","93.0","","","",,"",,""
"1871-01","1871","01","-3.4","","-16.4","","-9.9","","","","","M","44.7","","64.5","","109.2","","","",,"",,""
"1871-02","1871","02","-1.1","","-11.3","","-6.2","","","","","M","11.4","","30.0","","41.4","","","",,"",,""
"1871-03","1871","03","5.9","","-2.2","","1.9","","","","","M","32.3","","22.4","","54.6","","","",,"",,""
"1871-04","1871","04","12.4","","1.9","","7.2","","","","","M","90.2","","0.0","","90.2","","","",,"",,""
"1871-05","1871","05","18.6","","7.2","","12.9","","","","","M","42.4","","0.0","","42.4","","","",,"",,""
"1871-06","1871","06","23.1","","13.4","","18.3","","","","","M","56.6","","0.0","","56.6","","","",,"",,""
"1871-07","1871","07","25.3","","13.9","","19.6","","","","","M","36.6","","0.0","","36.6","","","",,"",,""
"1871-08","1871","08","26.3","","14.4","","20.4","","","","","M","51.1","","0.0","","51.1","","","",,"",,""
"1871-09","1871","09","18.2","","6.3","","12.3","","","","","M","35.8","","0.0","","35.8","","","",,"",,""
"1871-10","1871","10","14.9","","3.9","","9.4","","","","","M","45.0","","0.0","","45.0","","","",,"",,""
"1871-11","1871","11","2.6","","-5.6","","-1.5","","","","","M","75.9","","20.6","","96.5","","","",,"",,""
"1871-12","1871","12","-3.6","","-14.9","","-9.3","","","","-34.4","","18.8","","74.7","","93.5","","","",,"",,""
"1872-01","1872","01","-2.2","","-11.3","","-6.8","","","","","","0.0","","50.5","","50.5","","","",,"",,""
"1872-02","1872","02","-1.9","","-13.6","","-7.8","","","","","","19.3","","61.0","","80.3","","","",,"",,""
"1872-03","1872","03","-2.2","","-12.7","","-7.5","","","","","","0.0","","56.1","","56.1","","","",,"",,""
"1872-04","1872","04","11.0","","-0.8","","5.1","","","","","","24.4","","12.2","","36.6","","","",,"",,""
"1872-05","1872","05","18.6","","7.2","","12.9","","","","","","52.8","","0.0","","52.8","","","",,"",,""
"1872-06","1872","06","24.0","","13.6","","18.8","","","","","","65.0","","0.0","","65.0","","","",,"",,""
"1872-07","1872","07","26.8","","16.8","","21.8","","","","","","46.0","","0.0","","46.0","","","",,"",,""
"1872-08","1872","08","27.3","","17.2","","22.3","","","","","","42.7","","0.0","","42.7","","","",,"",,""
"1872-09","1872","09","20.4","","10.7","","15.6","","","","","","93.0","","0.0","","93.0","","","",,"",,""
"1872-10","1872","10","12.4","","2.3","","7.4","","","","","","86.1","","0.0","","86.1","","","",,"",,""
"1872-11","1872","11","4.3","","-3.1","","0.6","","","","","","16.3","","45.0","","61.2","","","",,"",,""
"1872-12","1872","12","-5.2","","-13.5","","-9.4","","","","","","3.8","","121.9","","125.7","","","",,"",,""
"1873-01","1873","01","-3.2","","-13.9","","-8.6","","","","","","45.5","","81.8","","127.3","","","",,"",,""
"1873-02","1873","02","-0.9","","-12.1","","-6.5","","","","","","2.0","","47.5","","49.5","","","",,"",,""
"1873-03","1873","03","1.9","","-7.9","","-3.0","","","","","","48.8","","117.3","","166.1","","","",,"",,""
"1873-04","1873","04","9.0","","0.6","","4.8","","","","","","49.3","","0.0","","49.3","","","",,"",,""
"1873-05","1873","05","18.1","","6.8","","12.5","","","","","","25.1","","0.0","","25.1","","","",,"",,""
"1873-06","1873","06","26.1","","13.1","","19.6","","","","","","54.4","","0.0","","54.4","","","",,"",,""
"1873-07","1873","07","26.3","","15.9","","21.1","","","","","","43.2","","0.0","","43.2","","","",,"",,""
"1873-08","1873","08","25.0","","14.1","","19.6","","","","","","55.1","","0.0","","55.1","","","",,"",,""
"1873-09","1873","09","20.6","","8.4","","14.5","","","","","","55.6","","0.0","","55.6","","","",,"",,""
"1873-10","1873","10","13.2","","3.1","","8.2","","","","","","105.2","","3.8","","109.0","","","",,"",,""
"1873-11","1873","11","0.2","","-7.7","","-3.8","","","","","","19.1","","62.7","","81.8","","","",,"",,""
"1873-12","1873","12","2.2","","-6.9","","-2.4","","","","","","38.4","","44.5","","82.8","","","",,"",,""
"1874-01","1874","01","-0.6","","-10.5","","-5.6","","","","","","49.5","","45.7","","95.3","","","",,"",,""
"1874-02","1874","02","-2.6","","-12.2","","-7.4","","","","","","48.0","","41.4","","89.4","","","",,"",,""
"1874-03","1874","03","2.2","","-7.3","","-2.6","","","","","","45.5","","15.5","","61.0","","","",,"",,""
"1874-04","1874","04","","M","","M","","M","","","","","","M","","M","","M","","",,"",,""
"1874-05","1874","05","","M","","M","","M","","","","","","M","","M","","M","","",,"",,""
"1874-06","1874","06","","M","","M","","M","","","","","","M","","M","","M","","",,"",,""
"1874-07","1874","07","","M","","M","","M","","","","","","M","","M","","M","","",,"",,""
"1874-08","1874","08","","M","","M","","M","","","","","","M","","M","","M","","",,"",,""
"1874-09","1874","09","","M","","M","","M","","","","","","M","","M","","M","","",,"",,""
"1874-10","1874","10","","M","","M","","M","","","","","","M","","M","","M","","",,"",,""
"1874-11","1874","11","","M","","M","","M","","","","","","M","","M","","M","","",,"",,""
"1874-12","1874","12","","M","","M","","M","","","","","","M","","M","","M","","",,"",,""
"1875-01","1875","01","","","","","","","","","","","","","","","","","","",,"",,""
"1875-02","1875","02","","","","","","","","","","","","","","","","","","",,"",,""
"1875-03","1875","03","","","","","","","","","","","","","","","","","","",,"",,""
"1875-04","1875","04","","","","","","","","","","","","","","","","","","",,"",,""
"1875-05","1875","05","","","","","","","","","","","","","","","","","","",,"",,""
"1875-06","1875","06","","","","","","","","","","","","","","","","","","",,"",,""
"1875-07","1875","07","","","","","","","","","","","","","","","","","","",,"",,""
"1875-08","1875","08","","","","","","","","","","","","","","","","","","",,"",,""
"1875-09","1875","09","","","","","","","","","","","","","","","","","","",,"",,""
"1875-10","1875","10","","","","","","","","","","","","","","","","","","",,"",,""
"1875-11","1875","11","","","","","","","","","","","","","","","","","","",,"",,""
"1875-12","1875","12","","","","","","","","","","","","","","","","","","",,"",,""
"1876-01","1876","01","","","","","","","","","","","","","","","","","","",,"",,""
"1876-02","1876","02","","","","","","","","","","","","","","","","","","",,"",,""
"1876-03","1876","03","","","","","","","","","","","","","","","","","","",,"",,""
"1876-04","1876","04","","","","","","","","","","","","","","","","","","",,"",,""
"1876-05","1876","05","","","","","","","","","","","","","","","","","","",,"",,""
"1876-06","1876","06","","","","","","","","","","","","","","","","","","",,"",,""
"1876-07","1876","07","","","","","","","","","","","","","","","","","","",,"",,""
"1876-08","1876","08","","","","","","","","","","","","","","","","","","",,"",,""
"1876-09","1876","09","","","","","","","","","","","","","","","","","","",,"",,""
"1876-10","1876","10","","","","","","","","","","","","","","","","","","",,"",,""
"1876-11","1876","11","","","","","","","","","","","","","","","","","","",,"",,""
"1876-12","1876","12","","","","","","","","","","","","","","","","","","",,"",,""
"1877-01","1877","01","-4.2","","-15.3","","-9.8","","","M","","M","4.8","","56.4","","61.2","","","",,"",,""
"1877-02","1877","02","2.2","","-5.4","","-1.6","","7.2","","-15.0","S","2.0","","1.3","","3.3","","","",,"",,""
"1877-03","1877","03","1.0","","-7.3","","-3.2","","9.4","","-19.4","","51.1","","56.9","","108.0","","","",,"",,""
"1877-04","1877","04","12.8","","1.7","","7.3","","21.7","","-5.6","","36.6","","1.3","","37.8","","","",,"",,""
"1877-05","1877","05","19.3","","","M","","M","28.3","","","M","29.7","","0.0","","29.7","","","",,"",,""
"1877-06","1877","06","25.8","","12.0","","18.9","","31.1","","7.2","","54.6","","0.0","","54.6","","","",,"",,""
"1877-07","1877","07","28.6","","15.8","","22.2","","34.4","","10.0","","79.5","","0.0","","79.5","","","",,"",,""
"1877-08","1877","08","28.2","","15.6","","21.9","","32.2","","12.2","","50.5","","0.0","","50.5","","","",,"",,""
"1877-09","1877","09","24.3","","9.9","","17.1","","31.1","S","2.2","","11.9","","0.0","","11.9","","","",,"",,""
"1877-10","1877","10","14.0","","4.4","","9.2","","28.3","","-3.3","","88.4","","0.3","","88.6","","","",,"",,""
"1877-11","1877","11","6.5","","-1.0","","2.8","","12.2","","-8.9","S","155.7","","7.1","","162.8","","","",,"",,""
"1877-12","1877","12","4.2","","-4.0","","0.1","","11.1","","-11.7","","35.6","","9.1","","44.7","","","",,"",,""
"1878-01","1878","01","-1.5","","-11.7","","-6.6","","6.7","","-30.6","","61.2","","47.2","","108.5","","","",,"",,""
"1878-02","1878","02","1.1","","-7.9","","-3.4","","6.7","","-17.8","","66.5","","29.0","","95.5","","","",,"",,""
"1878-03","1878","03","8.3","","-2.4","","3.0","","17.8","","-15.0","","76.5","","16.3","","92.7","","","",,"",,""
"1878-04","1878","04","17.2","","5.3","","11.3","","22.8","","-0.6","","101.9","","0.0","","101.9","","","",,"",,""
"1878-05","1878","05","17.7","","7.1","","12.4","","26.1","","-0.6","","43.2","","1.3","","44.5","","","",,"",,""
"1878-06","1878","06","24.5","","11.3","","17.9","","32.8","","2.8","","137.7","","0.0","","137.7","","","",,"",,""
"1878-07","1878","07","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1878-08","1878","08","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1878-09","1878","09","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1878-10","1878","10","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1878-11","1878","11","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1878-12","1878","12","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1879-01","1879","01","","","","","","","","","","","","","","","","","","",,"",,""
"1879-02","1879","02","","","","","","","","","","","","","","","","","","",,"",,""
"1879-03","1879","03","","","","","","","","","","","","","","","","","","",,"",,""
"1879-04","1879","04","","","","","","","","","","","","","","","","","","",,"",,""
"1879-05","1879","05","","","","","","","","","","","","","","","","","","",,"",,""
"1879-06","1879","06","","","","","","","","","","","","","","","","","","",,"",,""
"1879-07","1879","07","","","","","","","","","","","","","","","","","","",,"",,""
"1879-08","1879","08","","","","","","","","","","","","","","","","","","",,"",,""
"1879-09","1879","09","","","","","","","","","","","","","","","","","","",,"",,""
"1879-10","1879","10","","","","","","","","","","","","","","","","","","",,"",,""
"1879-11","1879","11","","","","","","","","","","","","","","","","","","",,"",,""
"1879-12","1879","12","","","","","","","","","","","","","","","","","","",,"",,""
"1880-01","1880","01","","","","","","","","","","","","","","","","","","",,"",,""
"1880-02","1880","02","","","","","","","","","","","","","","","","","","",,"",,""
"1880-03","1880","03","","","","","","","","","","","","","","","","","","",,"",,""
"1880-04","1880","04","","","","","","","","","","","","","","","","","","",,"",,""
"1880-05","1880","05","","","","","","","","","","","","","","","","","","",,"",,""
"1880-06","1880","06","","","","","","","","","","","","","","","","","","",,"",,""
"1880-07","1880","07","","","","","","","","","","","","","","","","","","",,"",,""
"1880-08","1880","08","","","","","","","","","","","","","","","","","","",,"",,""
"1880-09","1880","09","","","","","","","","","","","","","","","","","","",,"",,""
"1880-10","1880","10","","","","","","","","","","","","","","","","","","",,"",,""
"1880-11","1880","11","","","","","","","","","","","","","","","","","","",,"",,""
"1880-12","1880","12","","","","","","","","","","","","","","","","","","",,"",,""
"1881-01","1881","01","","","","","","","","","","","","","","","","","","",,"",,""
"1881-02","1881","02","","","","","","","","","","","","","","","","","","",,"",,""
"1881-03","1881","03","","","","","","","","","","","","","","","","","","",,"",,""
"1881-04","1881","04","","","","","","","","","","","","","","","","","","",,"",,""
"1881-05","1881","05","","","","","","","","","","","","","","","","","","",,"",,""
"1881-06","1881","06","","","","","","","","","","","","","","","","","","",,"",,""
"1881-07","1881","07","","","","","","","","","","","","","","","","","","",,"",,""
"1881-08","1881","08","","","","","","","","","","","","","","","","","","",,"",,""
"1881-09","1881","09","","","","","","","","","","","","","","","","","","",,"",,""
"1881-10","1881","10","","","","","","","","","","","","","","","","","","",,"",,""
"1881-11","1881","11","","","","","","","","","","","","","","","","","","",,"",,""
"1881-12","1881","12","","","","","","","","","","","","","","","","","","",,"",,""
"1882-01","1882","01","","","","","","","","","","","","","","","","","","",,"",,""
"1882-02","1882","02","","","","","","","","","","","","","","","","","","",,"",,""
"1882-03","1882","03","","","","","","","","","","","","","","","","","","",,"",,""
"1882-04","1882","04","","","","","","","","","","","","","","","","","","",,"",,""
"1882-05","1882","05","","","","","","","","","","","","","","","","","","",,"",,""
"1882-06","1882","06","","","","","","","","","","","","","","","","","","",,"",,""
"1882-07","1882","07","","","","","","","","","","","","","","","","","","",,"",,""
"1882-08","1882","08","","","","","","","","","","","","","","","","","","",,"",,""
"1882-09","1882","09","","","","","","","","","","","","","","","","","","",,"",,""
"1882-10","1882","10","","","","","","","","","","","","","","","","","","",,"",,""
"1882-11","1882","11","","","","","","","","","","","","","","","","","","",,"",,""
"1882-12","1882","12","","","","","","","","","","","","","","","","","","",,"",,""
"1883-01","1883","01","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1883-02","1883","02","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1883-03","1883","03","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1883-04","1883","04","","","","","","","","","","","50.8","","10.2","","61.0","","","",,"",,""
"1883-05","1883","05","","","","","","","","","","","124.0","","0.0","","124.0","","","",,"",,""
"1883-06","1883","06","","","","","","","","","","","83.6","","0.0","","83.6","","","",,"",,""
"1883-07","1883","07","","","","","","","","","","","105.2","","0.0","","105.2","","","",,"",,""
"1883-08","1883","08","","","","","","","","","","","128.8","","0.0","","128.8","","","",,"",,""
"1883-09","1883","09","","","","","","","","","","","51.8","","0.0","","51.8","","","",,"",,""
"1883-10","1883","10","","","","","","","","","","","28.2","","0.0","","28.2","","","",,"",,""
"1883-11","1883","11","","","","","","","","","","","89.4","","25.4","","114.8","","","",,"",,""
"1883-12","1883","12","","","","","","","","","","","16.5","","14.0","","30.5","","","",,"",,""
"1884-01","1884","01","","","","","","","","","","","2.0","","131.8","","133.9","","","",,"",,""
"1884-02","1884","02","","","","","","","","","","","1.5","","26.7","","28.2","","","",,"",,""
"1884-03","1884","03","","","","","","","","","","","13.0","","40.6","","53.6","","","",,"",,""
"1884-04","1884","04","","","","","","","","","","","4.1","","0.0","","4.1","","","",,"",,""
"1884-05","1884","05","","","","","","","","","","","6.6","","0.0","","6.6","","","",,"",,""
"1884-06","1884","06","","","","","","","","","","","3.6","","0.0","","3.6","","","",,"",,""
"1884-07","1884","07","","","","","","","","","","","97.5","","0.0","","97.5","","","",,"",,""
"1884-08","1884","08","","","","","","","","","","","87.1","","0.0","","87.1","","","",,"",,""
"1884-09","1884","09","","","","","","","","","","","88.6","","0.0","","88.6","","","",,"",,""
"1884-10","1884","10","","","","","","","","","","","61.7","","0.0","","61.7","","","",,"",,""
"1884-11","1884","11","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1884-12","1884","12","","","","","","","","","","","72.9","","24.1","","97.0","","","",,"",,""
"1885-01","1885","01","","","","","","","","","","","6.4","","39.4","","45.7","","","",,"",,""
"1885-02","1885","02","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1885-03","1885","03","","","","","","","","","","","13.7","","33.3","","47.0","","","",,"",,""
"1885-04","1885","04","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1885-05","1885","05","","","","","","","","","","","81.5","","0.0","T","81.5","","","",,"",,""
"1885-06","1885","06","","","","","","","","","","","90.4","","0.0","","90.4","","","",,"",,""
"1885-07","1885","07","","","","","","","","","","","99.8","","0.0","","99.8","","","",,"",,""
"1885-08","1885","08","","","","","","","","","","","121.9","","0.0","","121.9","","","",,"",,""
"1885-09","1885","09","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1885-10","1885","10","","","","","","","","","","","61.5","","0.0","","61.5","","","",,"",,""
"1885-11","1885","11","","","","","","","","","","","51.1","","0.0","","51.1","","","",,"",,""
"1885-12","1885","12","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1886-01","1886","01","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1886-02","1886","02","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1886-03","1886","03","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1886-04","1886","04","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1886-05","1886","05","","","","","","","","","","","57.2","","0.0","","57.2","","","",,"",,""
"1886-06","1886","06","","","","","","","","","","","56.4","","0.0","","56.4","","","",,"",,""
"1886-07","1886","07","","","","","","","","","","","62.5","","0.0","","62.5","","","",,"",,""
"1886-08","1886","08","","","","","","","","","","","8.6","","0.0","","8.6","","","",,"",,""
"1886-09","1886","09","","","","","","","","","","","115.1","","0.0","","115.1","","","",,"",,""
"1886-10","1886","10","","","","","","","","","","","54.4","","0.0","","54.4","","","",,"",,""
"1886-11","1886","11","","","","","","","","","","","58.7","","31.8","","90.4","","","",,"",,""
"1886-12","1886","12","","","","","","","","","","","23.1","","17.8","","40.9","","","",,"",,""
"1887-01","1887","01","","","","","","","","","","","22.6","","55.9","","78.5","","","",,"",,""
"1887-02","1887","02","","","","","","","","","","","29.2","","61.0","","90.2","","","",,"",,""
"1887-03","1887","03","","","","","","","","","","","15.0","","27.9","","42.9","","","",,"",,""
"1887-04","1887","04","","","","","","","","","","","44.5","","2.5","","47.0","","","",,"",,""
"1887-05","1887","05","","","","","","","","","","","13.5","","0.0","","13.5","","","",,"",,""
"1887-06","1887","06","","","","","","","","","","","47.2","","0.0","","47.2","","","",,"",,""
"1887-07","1887","07","","","","","","","","","","","23.4","","0.0","","23.4","","","",,"",,""
"1887-08","1887","08","","","","","","","","","","","38.1","","0.0","","38.1","","","",,"",,""
"1887-09","1887","09","","","","","","","","","","","55.1","","0.0","","55.1","","","",,"",,""
"1887-10","1887","10","","","","","","","","","","","66.3","","0.0","","66.3","","","",,"",,""
"1887-11","1887","11","","","","","","","","","","","28.2","","16.5","","44.7","","","",,"",,""
"1887-12","1887","12","","","","","","","","","","","38.4","","15.2","","53.6","","","",,"",,""
"1888-01","1888","01","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1888-02","1888","02","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1888-03","1888","03","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1888-04","1888","04","","","","","","","","","","","27.2","","2.5","","29.7","","","",,"",,""
"1888-05","1888","05","","","","","","","","","","","29.7","","0.0","","29.7","","","",,"",,""
"1888-06","1888","06","","","","","","","","","","","24.6","","0.0","","24.6","","","",,"",,""
"1888-07","1888","07","","","","","","","","","","","31.0","","0.0","","31.0","","","",,"",,""
"1888-08","1888","08","","","","","","","","","","","115.1","","0.0","","115.1","","","",,"",,""
"1888-09","1888","09","","","","","","","","","","","71.1","","0.0","","71.1","","","",,"",,""
"1888-10","1888","10","","","","","","","","","","","67.8","","0.0","","67.8","","","",,"",,""
"1888-11","1888","11","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1888-12","1888","12","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1889-01","1889","01","","","","","","","","","","","45.2","","81.3","","126.5","","","",,"",,""
"1889-02","1889","02","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1889-03","1889","03","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1889-04","1889","04","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1889-05","1889","05","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1889-06","1889","06","","","","","","","","","","","163.1","","0.0","","163.1","","","",,"",,""
"1889-07","1889","07","","","","","","","","","","","79.5","","0.0","","79.5","","","",,"",,""
"1889-08","1889","08","","","","","","","","","","","15.0","","0.0","","15.0","","","",,"",,""
"1889-09","1889","09","","","","","","","","","","","55.4","","0.0","","55.4","","","",,"",,""
"1889-10","1889","10","","","","","","","","","","","55.9","","0.0","","55.9","","","",,"",,""
"1889-11","1889","11","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1889-12","1889","12","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1890-01","1890","01","","","","","","","","","","","76.7","","33.0","","109.7","","","",,"",,""
"1890-02","1890","02","","","","","","","","","","","96.3","","73.7","","169.9","","","",,"",,""
"1890-03","1890","03","","","","","","","","","","","29.2","","25.4","","54.6","","","",,"",,""
"1890-04","1890","04","","","","","","","","","","","62.7","","0.0","","62.7","","","",,"",,""
"1890-05","1890","05","","","","","","","","","","","90.4","","0.0","","90.4","","","",,"",,""
"1890-06","1890","06","","","","","","","","","","","93.2","","0.0","","93.2","","","",,"",,""
"1890-07","1890","07","","","","","","","","","","","76.2","","0.0","","76.2","","","",,"",,""
"1890-08","1890","08","","","","","","","","","","","65.0","","0.0","","65.0","","","",,"",,""
