Land-Ocean: Northern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.34,-.49,-.21,-.28,-.04,-.14,-.16,-.24,-.21,-.30,-.41,-.38,-.27,***,***,-.18,-.18,-.31
1881,-.29,-.21,-.02,.02,.05,-.31,.10,-.03,-.25,-.42,-.35,-.21,-.16,-.18,-.29,.01,-.08,-.34
1882,.28,.23,.04,-.30,-.23,-.28,-.26,-.13,-.22,-.51,-.31,-.66,-.20,-.16,.10,-.17,-.22,-.35
1883,-.56,-.64,-.13,-.27,-.23,-.11,-.01,-.20,-.30,-.14,-.41,-.14,-.26,-.31,-.62,-.21,-.11,-.28
1884,-.15,-.08,-.61,-.58,-.35,-.41,-.42,-.48,-.43,-.44,-.57,-.46,-.41,-.39,-.12,-.51,-.44,-.48
1885,-1.00,-.44,-.22,-.47,-.58,-.44,-.34,-.40,-.39,-.36,-.37,-.10,-.43,-.46,-.64,-.43,-.39,-.37
1886,-.74,-.83,-.71,-.36,-.32,-.37,-.14,-.42,-.32,-.30,-.38,-.20,-.42,-.42,-.56,-.46,-.31,-.34
1887,-1.07,-.69,-.43,-.37,-.24,-.20,-.23,-.53,-.20,-.48,-.26,-.42,-.43,-.41,-.66,-.35,-.32,-.31
1888,-.48,-.60,-.63,-.21,-.14,-.02,.01,-.20,-.18,-.03,.00,-.23,-.23,-.24,-.50,-.33,-.07,-.07
1889,-.26,.31,-.02,.17,-.03,-.06,-.07,-.20,-.30,-.41,-.61,-.54,-.17,-.14,-.06,.04,-.11,-.44
1890,-.63,-.56,-.46,-.24,-.35,-.15,-.23,-.38,-.34,-.09,-.62,-.46,-.38,-.38,-.58,-.35,-.25,-.35
1891,-.47,-.68,-.16,-.35,-.15,-.12,-.12,-.13,-.08,-.28,-.52,-.04,-.26,-.29,-.54,-.22,-.12,-.29
1892,-.49,-.16,-.67,-.45,-.24,-.06,-.38,-.33,-.20,-.28,-.82,-.66,-.39,-.34,-.23,-.45,-.25,-.44
1893,-1.52,-.97,-.32,-.30,-.43,-.19,-.14,-.33,-.28,-.28,-.34,-.60,-.48,-.48,-1.05,-.35,-.22,-.30
1894,-.92,-.42,-.22,-.54,-.26,-.41,-.21,-.26,-.32,-.28,-.47,-.35,-.39,-.41,-.65,-.34,-.29,-.36
1895,-.70,-.81,-.49,-.18,-.30,-.20,-.18,-.27,-.06,-.09,-.12,-.23,-.30,-.31,-.62,-.32,-.22,-.09
1896,-.35,-.18,-.50,-.60,-.16,.08,.00,-.11,-.12,.05,-.20,-.21,-.19,-.19,-.25,-.42,-.01,-.09
1897,-.40,-.42,-.40,-.05,.13,-.06,.04,-.06,-.06,-.14,-.26,-.27,-.16,-.16,-.34,-.11,-.03,-.15
1898,.07,-.42,-.78,-.27,-.26,-.07,-.10,-.16,-.16,-.36,-.50,-.26,-.27,-.27,-.21,-.44,-.11,-.34
1899,-.11,-.64,-.58,-.23,-.24,-.35,-.16,-.06,-.04,.05,.37,-.45,-.20,-.19,-.34,-.35,-.19,.13
1900,-.60,-.13,.07,-.09,-.03,-.08,-.10,-.07,-.01,.25,-.10,-.01,-.08,-.11,-.39,-.02,-.09,.04
1901,-.32,-.08,.29,.12,-.11,.02,.02,-.15,-.26,-.31,-.21,-.40,-.12,-.08,-.14,.10,-.03,-.26
1902,-.16,.03,-.37,-.37,-.37,-.34,-.31,-.27,-.32,-.28,-.44,-.58,-.32,-.30,-.18,-.37,-.31,-.35
1903,-.20,.13,-.13,-.45,-.41,-.44,-.43,-.53,-.48,-.48,-.41,-.55,-.36,-.37,-.22,-.33,-.47,-.45
1904,-.76,-.58,-.39,-.48,-.43,-.47,-.58,-.53,-.62,-.38,-.07,-.34,-.47,-.49,-.63,-.44,-.53,-.36
1905,-.41,-.81,-.22,-.45,-.28,-.26,-.21,-.22,-.18,-.26,.10,-.16,-.28,-.30,-.52,-.31,-.23,-.11
1906,-.55,-.52,-.20,.05,-.24,-.11,-.26,-.16,-.24,-.17,-.39,.04,-.23,-.25,-.41,-.13,-.18,-.27
1907,-.57,-.71,-.29,-.44,-.58,-.50,-.39,-.38,-.40,-.19,-.55,-.57,-.47,-.41,-.42,-.44,-.42,-.38
1908,-.54,-.27,-.70,-.47,-.29,-.30,-.35,-.57,-.30,-.44,-.62,-.55,-.45,-.45,-.46,-.49,-.41,-.46
1909,-.93,-.45,-.67,-.64,-.49,-.50,-.44,-.34,-.37,-.33,-.11,-.57,-.49,-.48,-.64,-.60,-.43,-.27
1910,-.34,-.38,-.49,-.41,-.30,-.46,-.39,-.40,-.43,-.30,-.58,-.81,-.44,-.42,-.43,-.40,-.42,-.44
1911,-.70,-.59,-.63,-.45,-.45,-.33,-.36,-.42,-.38,-.19,-.20,-.30,-.41,-.46,-.70,-.51,-.37,-.25
1912,-.35,-.16,-.60,-.15,-.12,-.12,-.51,-.76,-.81,-.84,-.50,-.56,-.46,-.43,-.27,-.29,-.46,-.72
1913,-.56,-.64,-.45,-.49,-.54,-.49,-.52,-.46,-.43,-.39,-.14,.12,-.42,-.47,-.59,-.50,-.49,-.32
1914,.18,-.10,-.35,-.38,-.18,-.22,-.33,-.27,-.30,.00,-.21,-.05,-.18,-.17,.07,-.30,-.28,-.17
1915,-.26,-.09,-.23,.07,-.01,-.12,-.09,-.15,-.21,-.27,-.03,-.25,-.14,-.12,-.14,-.06,-.12,-.17
1916,-.09,-.16,-.38,-.34,-.35,-.50,-.33,-.37,-.49,-.35,-.47,-1.13,-.41,-.34,-.17,-.36,-.40,-.43
1917,-.54,-.68,-.75,-.64,-.73,-.48,-.32,-.40,-.30,-.63,-.31,-1.05,-.57,-.58,-.78,-.71,-.40,-.41
1918,-.69,-.46,-.26,-.58,-.49,-.45,-.34,-.36,-.25,-.04,-.22,-.56,-.39,-.43,-.74,-.44,-.38,-.17
1919,-.38,-.41,-.37,-.23,-.42,-.39,-.33,-.30,-.19,-.09,-.47,-.56,-.35,-.35,-.45,-.34,-.34,-.25
1920,-.15,-.29,.01,-.21,-.21,-.26,-.25,-.32,-.35,-.40,-.45,-.71,-.30,-.29,-.33,-.14,-.28,-.40
1921,.19,-.09,-.11,-.17,-.24,-.14,-.02,-.28,-.17,.00,-.09,-.13,-.11,-.15,-.20,-.17,-.15,-.09
1922,-.37,-.63,-.11,-.16,-.19,-.16,-.28,-.37,-.43,-.32,-.13,-.14,-.27,-.27,-.38,-.15,-.27,-.29
1923,-.18,-.46,-.39,-.52,-.39,-.24,-.29,-.27,-.17,.07,.16,.10,-.22,-.24,-.26,-.43,-.27,.02
1924,-.28,-.21,.03,-.28,-.06,-.19,-.22,-.27,-.22,-.24,.11,-.36,-.18,-.14,-.13,-.10,-.23,-.12
1925,-.29,-.38,-.23,-.16,-.22,-.25,-.25,-.19,-.04,-.08,.22,.22,-.14,-.19,-.34,-.20,-.23,.03
1926,.53,.19,.38,-.11,-.23,-.19,-.19,-.05,-.02,.07,.17,-.29,.02,.06,.32,.01,-.15,.08
1927,-.29,-.08,-.47,-.27,-.13,-.13,-.07,-.16,.03,.24,.09,-.37,-.13,-.13,-.22,-.29,-.12,.12
1928,.27,.09,-.23,-.32,-.17,-.31,-.10,-.19,-.16,-.08,.05,-.04,-.10,-.13,.00,-.24,-.20,-.06
